2025-04-12 21:09:42.974 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:09:44.592 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:09:44.633 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:10:32.352 | INFO     | utils.xiayi:set_window_pos:243 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:10:32.352 | INFO     | utils.xiayi:set_window_pos:244 - 位置: (-6, 0)
2025-04-12 21:10:32.352 | INFO     | utils.xiayi:set_window_pos:245 - 大小: 568 x 1033
2025-04-12 21:10:32.352 | INFO     | utils.xiayi:set_window_pos:246 - 已设置为始终保持在最前端
2025-04-12 21:10:33.353 | INFO     | utils.xiayi:append_nothing_to_txt:271 - 文本已追加到: progress/20250411.txt
2025-04-12 21:10:33.353 | INFO     | utils.xiayi:read_txt:290 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:10:34.181 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:10:34.235 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:10:35.828 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:10:35.857 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:08.586 | INFO     | utils.xiayi:set_window_pos:243 - 已设置窗口 '墨迹大侠-波浪7' (句柄: 70926):
2025-04-12 21:11:08.586 | INFO     | utils.xiayi:set_window_pos:244 - 位置: (-6, 0)
2025-04-12 21:11:08.586 | INFO     | utils.xiayi:set_window_pos:245 - 大小: 568 x 1033
2025-04-12 21:11:08.586 | INFO     | utils.xiayi:set_window_pos:246 - 已设置为始终保持在最前端
2025-04-12 21:11:09.586 | INFO     | utils.xiayi:append_nothing_to_txt:271 - 文本已追加到: progress/20250411.txt
2025-04-12 21:11:09.586 | INFO     | utils.xiayi:read_txt:290 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 21:11:10.413 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:10.462 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:12.052 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:12.098 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:14.480 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:14.521 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:15.769 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:15.814 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:18.145 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:18.187 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
2025-04-12 21:11:19.404 | INFO     | utils.xiayi:capture_window:103 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 21:11:19.437 | INFO     | utils.xiayi:capture_and_recognize_text:312 - 已保存截图到 F:\project\brushChivalry/imgs/capture.png
